|                                                                fullyQualifiedName                                                                |      pattern       |
| org.apache.hadoop.hdfs.TestMaintenanceState.testFileBlockReplicationImpl                                                                         | unbound-collection |
| org.apache.hadoop.hdfs.TestMaintenanceState.testFileCloseAfterEnteringMaintenance                                                                | unbound-collection |
| org.apache.hadoop.hdfs.TestMultiThreadedHflush.doMultithreadedWrites                                                                             | unbound-collection |
| org.apache.hadoop.hdfs.TestMultiThreadedHflush.testHflushWhileClosing                                                                            | unbound-collection |
| org.apache.hadoop.hdfs.TestPeerCache.testDomainSocketPeers                                                                                       | unbound-collection |
| org.apache.hadoop.hdfs.TestPeerCache.testMultiplePeersWithSameKey                                                                                | unbound-collection |
| org.apache.hadoop.hdfs.TestPersistBlocks.testEarlierVersionEditLog                                                                               | unbound-collection |
| org.apache.hadoop.hdfs.TestPersistBlocks.testRestartWithAppend                                                                                   | unbound-collection |
| org.apache.hadoop.hdfs.TestPipelines.pipeline_01                                                                                                 | unbound-collection |
| org.apache.hadoop.hdfs.TestPread.testMaxOutHedgedReadPool                                                                                        | unbound-collection |
| org.apache.hadoop.hdfs.TestQuota.scanIntoList                                                                                                    | unbound-collection |
| org.apache.hadoop.hdfs.TestQuota.testSpaceCommands                                                                                               | unbound-collection |
| org.apache.hadoop.hdfs.TestQuota.testSpaceQuotaExceptionOnAppend                                                                                 | unbound-collection |
| org.apache.hadoop.hdfs.TestReadStripedFileWithDNFailure.getParameters                                                                            | unbound-collection |
| org.apache.hadoop.hdfs.TestReadWhileWriting.append                                                                                               | unbound-collection |
| org.apache.hadoop.hdfs.TestReadWhileWriting.pipeline_02_03                                                                                       | unbound-collection |
| org.apache.hadoop.hdfs.TestReconstructStripedFile.generateDeadDnIndices                                                                          | unbound-collection |
| org.apache.hadoop.hdfs.TestReconstructStripedFile.testProcessErasureCodingTasksSubmitionShouldSucceed                                            | unbound-collection |
| org.apache.hadoop.hdfs.TestReplaceDatanodeOnFailure.testAppend                                                                                   | unbound-collection |
| org.apache.hadoop.hdfs.TestReplaceDatanodeOnFailure.testBestEffort                                                                               | unbound-collection |
| org.apache.hadoop.hdfs.TestReplication.testPendingReplicationRetry                                                                               | unbound-collection |
| org.apache.hadoop.hdfs.TestSafeMode.testInitializeReplQueuesEarly                                                                                | unbound-collection |
| org.apache.hadoop.hdfs.TestSafeMode.testRbwBlocksNotConsideredUnderReplicated                                                                    | unbound-collection |
| org.apache.hadoop.hdfs.TestSafeModeWithStripedFile.doTest                                                                                        | unbound-collection |
| org.apache.hadoop.hdfs.TestStateAlignmentContextWithHA.runClientsWithFailover                                                                    | unbound-collection |
| org.apache.hadoop.hdfs.TestStateAlignmentContextWithHA.submitAll                                                                                 | unbound-collection |
| org.apache.hadoop.hdfs.TestStripedFileAppend.testAppendToNewBlock                                                                                | unbound-collection |
| org.apache.hadoop.hdfs.TestStripedFileAppend.testAppendWithoutNewBlock                                                                           | unbound-collection |
| org.apache.hadoop.hdfs.TestTrashWithSecureEncryptionZones.testTrashExpunge                                                                       | unbound-collection |
| org.apache.hadoop.hdfs.TestWriteConfigurationToDFS.testWriteConf                                                                                 | unbound-collection |
| org.apache.hadoop.hdfs.TestWriteRead.testWriteAndRead                                                                                            | unbound-collection |
