|                                                                                  fullyQualifiedName                                                                                   |      pattern       |
| org.apache.ignite.internal.IgniteClientRejoinTest.testClientsReconnectDisabled                                                                                                        | unbound-collection |
| org.apache.ignite.internal.IgniteDiagnosticMessage$ExchangeInfoClosure.apply                                                                                                          | unbound-collection |
| org.apache.ignite.internal.IgniteDiagnosticMessage$TxEntriesInfoClosure.apply                                                                                                         | unbound-collection |
| org.apache.ignite.internal.IgniteDiagnosticMessage$TxInfoClosure.apply                                                                                                                | unbound-collection |
| org.apache.ignite.internal.IgniteDiagnosticMessage.dumpExchangeInfo                                                                                                                   | unbound-collection |
| org.apache.ignite.internal.IgniteDiagnosticMessage.dumpNodeBasicInfo                                                                                                                  | unbound-collection |
| org.apache.ignite.internal.IgniteDiagnosticPrepareContext$CompoundInfoClosure.add                                                                                                     | unbound-collection |
| org.apache.ignite.internal.IgniteDiagnosticPrepareContext$CompoundInfoClosure.apply                                                                                                   | unbound-collection |
| org.apache.ignite.internal.IgniteDiagnosticPrepareContext$CompoundInfoClosure.message                                                                                                 | unbound-collection |
| org.apache.ignite.internal.IgniteDiagnosticPrepareContext$CompoundInfoClosure.moreInfo                                                                                                | unbound-collection |
